scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_15000,survival_ratio_15000
room_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,19614,0.8713460684140382,1362,0.06050644158151933
office_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,18517,0.6398631604409275,9045,0.3125539928815785
office_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,12819,0.566385366500243,3918,0.17311006053108294
office_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,15912,0.7790834312573442,7859,0.38479240109674895
office_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,16697,0.5962362519640051,6096,0.21768318811598344
room_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,5217,0.33048270619536296,2470,0.47345217557983515,1479,0.28349626221966645
room_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,15786,0.33051379757966587,11740,0.7436969466615989,5805,0.3677309007981756
room_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,17742,0.33049568764785875,14989,0.8448314733400969,5853,0.3298951640175854
room_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,74,chair,replica_room_0_obj_74,gaussian,34054,11255,0.3305044928642744,9509,0.8448689471346068,1895,0.16836961350510884
office_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,14469,0.31882684764884756,10166,0.7026055705300989,7281,0.5032137673647108
office_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,11317,0.3188516045417406,5840,0.516037819210038,2894,0.255721480957851
office_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,58,table,replica_office_0_obj_58,gaussian,32030,10212,0.31882610053075244,8344,0.8170779475127301,4667,0.45701135918527225
office_0,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,61,chair,replica_office_0_obj_61,gaussian,43916,14002,0.3188359595591584,8447,0.6032709612912441,4321,0.3085987716040566
