experiment_name,scene_id,initialization,prior_object_id,prior_count,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,7000,ours_7000,13.09111499786377,0.4967895746231079,0.4005373418331146,1609528,121.311369
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,500,ours_500,10.90223217010498,0.1829519271850586,0.7283450961112976,121555,18.372977
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,1000,ours_1000,11.576454162597656,0.318251371383667,0.584348201751709,193636,36.745953
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,2000,ours_2000,12.12569522857666,0.39557957649230957,0.5074743032455444,767319,73.491906
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,3000,ours_3000,12.32192325592041,0.42037150263786316,0.48585081100463867,1259422,110.237859
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,5000,ours_5000,12.559744834899902,0.4494296610355377,0.46102893352508545,1677045,183.729766
oracle_prior_vanilla_3dgs_clip,office_0,prior,chair_0014,1,7000,ours_7000,12.654738426208496,0.46037307381629944,0.4538658857345581,1909208,257.221672
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,500,ours_500,11.055862426757812,0.1968957930803299,0.7102840542793274,121555,17.066085
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,1000,ours_1000,11.609883308410645,0.2911016643047333,0.6115303039550781,164455,34.13217
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,2000,ours_2000,12.268826484680176,0.38755929470062256,0.5016010999679565,574142,68.26434
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,3000,ours_3000,12.570975303649902,0.428765207529068,0.46402135491371155,947520,102.396509
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,5000,ours_5000,12.883761405944824,0.47308897972106934,0.42054983973503113,1364246,170.660849
oracle_prior_vanilla_3dgs_clip,room_0,prior,chair_0014,1,7000,ours_7000,13.065972328186035,0.4984480142593384,0.4018752872943878,1609395,238.925188
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,500,ours_500,10.681224822998047,0.26330605149269104,0.6595845818519592,197667,11.051472
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,1000,ours_1000,11.587944030761719,0.39400067925453186,0.5113083720207214,267456,22.102943
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,2000,ours_2000,12.230328559875488,0.47648540139198303,0.4379284679889679,809289,44.205887
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,3000,ours_3000,12.513465881347656,0.5089409947395325,0.40931984782218933,1276818,66.30883
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,5000,ours_5000,12.838306427001953,0.5455806851387024,0.3768296241760254,1773283,110.514717
oracle_prior_vanilla_3dgs_multi_clip,office_0,prior,sofa_0131,4,7000,ours_7000,12.982704162597656,0.560796320438385,0.36532679200172424,2028586,154.720604
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,500,ours_500,11.06955337524414,0.3396504819393158,0.5874350070953369,203984,10.640147
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,1000,ours_1000,11.878571510314941,0.45157042145729065,0.4612424373626709,263410,21.280294
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,2000,ours_2000,12.58342456817627,0.5443068146705627,0.37017467617988586,806016,42.560587
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,3000,ours_3000,12.8462495803833,0.5764120817184448,0.34241220355033875,1257064,63.840881
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,5000,ours_5000,13.19565486907959,0.6147207021713257,0.3136448562145233,1688951,106.401468
oracle_prior_vanilla_3dgs_multi_clip,room_0,prior,lamp_0085,4,7000,ours_7000,13.31824016571045,0.627092182636261,0.3041711747646332,1943664,148.962055
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,0,ours_0,8.017505645751953,0.052207157015800476,0.7763702869415283,197667,0.0
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,500,ours_500,10.686280250549316,0.26319923996925354,0.6586523056030273,197667,15.33418
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,1000,ours_1000,11.59789752960205,0.3953385353088379,0.512542724609375,267383,30.66836
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,2000,ours_2000,12.231612205505371,0.47708916664123535,0.43622350692749023,810906,61.33672
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,3000,ours_3000,12.479002952575684,0.5057099461555481,0.41059422492980957,1277892,92.00508
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,5000,ours_5000,12.824715614318848,0.5428735613822937,0.37915289402008057,1768392,153.3418
oracle_prior_vanilla_3dgs_multi_clip_15000,office_0,prior,sofa_0131,4,7000,ours_7000,12.96789264678955,0.5589231252670288,0.3651159703731537,2025481,214.678521
